date,detail,cash,credit,creditType,category,tag,waste
2010년08월10일,칵테일바,0,24000,LIG 손해보험-현,식비>술/유흥,,
2010년08월10일,담배값,2500,0,,용돈/기타>담배,,
2010년08월10일,호텔예약,0,103350,LIG 손해보험-현,건강/문화>여행,홍콩,
2010년08월10일,택시비(회사),0,202920,LIG 손해보험-현,교통/차량>택시비C,회사경비,
2010년08월10일,택시비,0,18800,LIG 손해보험-현,교통/차량>택시비C,,
2010년08월10일,대중교통비정산,0,76200,LIG 손해보험-현,교통/차량>대중교통비,,
2010년08월11일,USB젠더,2500,0,,생활용품>가구/가전,,
2010년08월12일,점심,6000,0,,식비>평일점심,,
2010년08월12일,저녁(회사),0,19400,LIG 손해보험-현,식비>평일저녁,회사경비,
2010년08월13일,영화예매,11000,0,,건강/문화>문화생활,,
2010년08월14일,담배값,2500,0,,용돈/기타>담배,,
2010년08월14일,팬티,12900,0,,의복/미용>의류비,,
2010년08월14일,케밥,3500,0,,식비>간식,,
2010년08월14일,술값,74000,0,,식비>술/유흥,,
2010년08월15일,축의금(김윤정선배),50000,0,,경조사/회비>경조사비,,
2010년08월15일,와바,31000,0,,식비>외식,,
2010년08월15일,담배값,2500,0,,용돈/기타>담배,,
2010년08월15일,생수,1000,0,,식비>커피/음료,,
2010년08월15일,타행수수료,1200,0,,세금/이자>기타,,
2010년08월15일,음료수,1000,0,,식비>커피/음료,,
2010년08월16일,점심,6000,0,,식비>평일점심,,
2010년08월17일,점심,6000,0,,식비>평일점심,,
2010년08월17일,팀장님부탁,0,20600,LIG 손해보험-현,용돈/기타>기타,,
2010년08월18일,점심,7000,0,,식비>평일점심,,
2010년08월19일,스타벅스,10100,0,,식비>커피/음료,,
2010년08월19일,"저녁(with 경휘,경휘동생)",10000,0,,식비>평일저녁,,
2010년08월19일,환전,398660,0,,건강/문화>여행,홍콩,
2010년08월19일,담배,2500,0,,용돈/기타>담배,,
2010년08월19일,쪼리,0,9000,신한 LOVE 카드,의복/미용>패션잡화,,
2010년08월20일,점심,3000,0,,식비>평일점심,,
2010년08월20일,주택청약,3000000,0,,저축/보험>적금,결혼,
2010년08월20일,미용실,0,10000,신한 LOVE 카드,의복/미용>헤어/뷰티,,
2010년08월21일,담배,0,19940,신한 LOVE 카드,용돈/기타>담배,,
2010년08월22일,연금(LIG),148500,0,,저축/보험>연금,고정비용,
2010년08월23일,LIG 손해보험-현... 사용대금 (2010.07.12 ~ 2010.08.11),864800,0,,카드대금>LIG 손해보험-현,,
2010년08월23일,신한 LOVE 카드 사용대금 (2010.07.07 ~ 2010.08.06),0,0,,카드대금>신한 LOVE 카드,,
2010년08월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년08월26일,핸드폰 요금,66990,0,,주거/통신>이동통신,,
2010년08월26일,곗돈,1000000,0,,저축/보험>기타,"계,결혼",
2010년08월26일,엄마용돈,200000,0,,용돈/기타>용돈,엄마용돈,
2010년08월26일,커피(with 현양),0,9900,신한 LOVE 카드,식비>커피/음료,,
2010년08월27일,음료수(병문안),0,12000,신한 LOVE 카드,용돈/기타>선물,,
2010년08월27일,자장면,4500,0,,식비>외식,,
2010년08월27일,콜라,2000,0,,식비>커피/음료,,
2010년08월27일,시계,0,484163,신한 LOVE 카드,의복/미용>기타,홍콩,
2010년08월27일,옷,0,23264,신한 LOVE 카드,의복/미용>의류비,홍콩,
2010년08월27일,엄마선물,0,90957,신한 LOVE 카드,용돈/기타>선물,홍콩,
2010년08월27일,아빠선물,0,75049,신한 LOVE 카드,용돈/기타>선물,홍콩,
2010년08월27일,동생선물,0,38871,신한 LOVE 카드,용돈/기타>선물,홍콩,
2010년08월27일,현양이선물,0,54183,신한 LOVE 카드,용돈/기타>선물,홍콩,
2010년08월27일,경희화장품 사다줌,0,68133,신한 LOVE 카드,용돈/기타>기타,홍콩,
2010년08월28일,화촌(with 수정누나),0,26000,신한 LOVE 카드,식비>술/유흥,,
2010년08월28일,축의금(윤지혜대리님),30000,0,,경조사/회비>경조사비,,
2010년08월30일,점심,6000,0,,식비>평일점심,,
2010년09월01일,남희석모임(with 오대리님),15000,0,,식비>술/유흥,,
2010년09월01일,택시비,0,2200,LIG 손해보험-현,교통/차량>택시비C,,
2010년09월01일,예금(우리은행 모바일전용 예금),5000000,0,,저축/보험>예금,결혼,
2010년09월01일,카드연회비,0,10000,신한 LOVE 카드,경조사/회비>기타,,
